正南北通透自住精装小三房 南向视野無敌 保利心语地铁口好房,洪山,128
中间楼层 临地铁 东南朝向 装修好 出行方便 有电梯,洪山,157
博海名居 南北通透 有电梯 双卫格局 商品住宅 老证 无遮挡,江汉,120
汉阳地铁口第四代住宅单价1.3万,汉阳,163
华科大地铁口，光谷步行街精装修二房，拎包入住，好楼层好采光,洪山,130
杨家湾地铁口  五环社区  标准四房两厅两卫,洪山,172
汉口火车站212 红领巾福星惠誉福星城南区 实用小3房满五,江汉,125
徐东品质楼盘 第四代住宅 欢迎咨询有优惠1.8 ,武昌,227
必看好房 汉口传奇精装三房 老证 自住装修 诚心出售,江汉,146
长江新区 近一小一初 金色港湾 装修两房 单价5XXX可谈,新洲,48
地铁房雅澜苑楼层采光好，通透方正毛坯3房诚心出售,青山,120
    ，越秀星汇君泊，地铁口，园林小区，低总价,江岸,128
万科新房 公摊低 交房有保证  后十几套先到先得,江夏,155
光谷广场华城新都三房，南北通透，大客厅，采光好，近地铁，可谈,洪山,115
满五  中间层，南北通透，一梯两户，户型方正，交通便利,江夏,158
（急卖恒大御府130平140谈电梯房）商品房小区     ,青山,140
翰林雅居 楼龄新 有电梯 小三居 朝南 高楼层采光充足 满二,黄陂,35
金地澜菲溪岸J8地块 精装修保养好 老证 不临三环 好楼层,汉阳,109
王家湾中央生活区 临地铁 正规商品房 正南朝向 近医院,汉阳,142
天汇龙城龙湖苑 三房两卫双阳台 精装修 九成新 拎包入住,黄陂,108
汉阳第四代住宅 得房率100  额外有团购,汉阳,176
三环内园林式社区 朝南视野無敌 高性价比精装小三房 保利心语,洪山,106.6
保利新武昌K4   位置不临路    楼层 满二 地铁口,洪山,162
御华里 育才怡康旁 双地铁口 楼层好 诚意急售！！！,江岸,135
保利香颂三期 洋房 独梯独户 使用面积大 得房率高 好楼层！,汉阳,180
光谷中央公园 配套成熟 交通便利 欢迎随时找我看房,洪山,175
城开汉口秀园 产权清晰 电梯房 中间好楼层 交通便捷 近地铁,江汉,115
南湖商圈，保利公园九里三期，3房格局，中间楼层，满五  ,洪山,139.9
新上！民航空姐空少做邻居 南向前排一线采光，中楼层精装拎包住,江汉,115
万科入驻武汉顶配二七滨江旁豪宅，好  大商圈地铁应有尽有,江岸,248
6号线杨汊湖星悦城四期全新精装三房出售未住人价格可谈随时看房,江岸,118
南德国际城135平，南北通透，小区交通便利，生活配套设施齐全,黄陂,97
金地艺境 产权清晰 高楼层视野无遮挡 南向采光好 满五,江夏,115
万科中层湖景房 小区中间位置 诚心卖的业主,洪山,123
关山郡 掀桌子 105平 单价   00 毛坯 现房,洪山,225
三环内地铁口 世茂云锦玉海园毛坯三房 视野楼层 采光无遮挡,洪山,118
万科直销小曹正地铁口 洪山万科广场旁 精装小三房,洪山,153
保利香颂三期带露台精装大三房边户通透,汉阳,175
三环旁 满二精装三房 采光好 周边商圈成熟 产权清晰随时过户,黄陂,23.5
5号地铁 高楼层 视野开阔 采光充足 精装房 证满二 精装修,青山,118
众圆旁开元公馆  精装修送车位 满五   电梯三房南北通透,青山,215
金融港烽火旁，2号地铁口，平安光谷春天自住边户三房，满五  ,江夏,148
马房山二环 毛坯1.5均价     起老城配套完善 央企开发,洪山,207
白沙洲清江锦城三期 5号线地铁龙湖天街旁 满二  好房随时看,洪山,153
保利时代天悦，二次装修全屋暖气，中间楼层，壹小，随时看房,洪山,210
新华联青年城 花山郡对面 房东自住 精装三室 证满急售,江夏,90
中建开元公馆 电梯房 正规商品房 临地铁 精装修 看房有钥匙,青山,170
保利阅江台 一万二带精装 性价比飞 王家湾商圈,汉阳,176
地铁口 熙龙湾 送入户 南北通透 满二 有电梯 交通便捷,东西湖,95
急售 广电兰亭盛荟(四期) 精装修 次新房 视野开阔 采光好,汉阳,120
精致潮流现代风 电梯3室2厅双卫 带衣帽间 视野晒场好 满五,江汉,232
（随时可看）12XXX起王家湾K出口200 现房毛坯二桥旁,汉阳,170
经开区 电梯花园洋房 实得使用面积超过产证面积,沌口开发区,158
水果湖同心大厦电梯住宅，有暖气，近地铁，生活方便，业主诚心出,武昌,210
小区前排无遮挡，楼下红领巾 通透户型 带车位 价格可谈,江汉,150
中南医院 中北路楚汉新居 青鱼嘴4号地铁口精装修 拎包入住,武昌,165
武昌   临和平大道 配套成熟 交通便利 欢迎随时找我看房,武昌,198
金融港 商品房 近地铁 交通便利 商圈成熟 南北通透 有电梯,江夏,125
中建汤逊湖壹号 满二 精装好房 大两房 中间楼层采光好,江夏,80
美联时光里二期 高楼层视野好 正规商品房 刚需小三居 小区新,江岸,165
中海尚城 楼龄新 装修好 满二 电梯房 正规商品房,蔡甸,51
硅谷小镇，此盘是新盘，交易量及大,洪山,92
平安光谷春天，地铁口，对窗户，满五  ，好楼层，有钥匙,江夏,115
次新小区 1号线轻轨 纯毛坯方正户型 老证,江岸,105
徐东大街 第四代0公摊住宅 找我只要21000    ,武昌,243
中大十里新城 精装可拎包入住 近医院 交通便捷 近地铁,汉阳,123
洪山光谷商圈金地天悦一期两室两厅精装修出售,洪山,142
盘龙城 满二 小三居 正规商品房 正南朝向 电梯房,黄陂,79.9
鲁巷商圈 碧水花园  中高楼层 朝南三房 户型通透,洪山,130
武昌新二环毛坯新房边户  得房率90,洪山,160
海赋必看好房（2房急售，看中带刀）已空出，钥匙看房！,江岸,122
建三众园广场对面  自住三室，南北通透94平诚意出售随时看房,青山,142
小区绿化高 产权清晰 刚需两居 近地铁 朝南 带电梯,江岸,165
单价1.2，入手一线头排江景房,汉阳,182
龙湖天街旁 房东急售 随时看房 楼层采光好 户型方正 大家,江岸,103
唐家墩万科公园5号，精装次新房业主急售，新风地暖中央空调都有,江汉,220
武胜路地铁旁 朝南大阳台 全明户型,硚口,214
钰龙旭辉半岛三期沁园 临地铁 中间楼层采光好 装修好,汉阳,120
天地雅园 掀桌子 105平 单价14800 精装 现房,洪山,185
好房推荐！首付两成入住二环边南湖旁精致三房 工作生活两不误,洪山,223
急售！万科品质 物业好 老证 次新从未入住,汉阳,180
陶家岭地铁口三房 可以直接入住 近王家湾 摩尔城,汉阳,117
中粮祥云地铁小镇 中间楼层采光好 车位充足 交通便利 次新房,蔡甸,62
保利心语四期，地铁口，  旁边，湖景房，南北通透，采光视野好,洪山,168
正地铁口 二环核心 地铁汉阳城两室超值    即可入住,汉阳,105
东建金鼎湾 婚房装修全新 南北通透 出行方便 刚需小三居,东西湖,79
武昌雄楚大街旁毛坯新房    单价18000,江岸,197
